SUBMISSIONYEARQUARTER,PWSID,FACILITY_ID,FACILITY_NAME,STATE_FACILITY_ID,FACILITY_ACTIVITY_CODE,FACILITY_DEACTIVATION_DATE,FACILITY_TYPE_CODE,SUBMISSION_STATUS_CODE,IS_SOURCE_IND,WATER_TYPE_CODE,AVAILABILITY_CODE,SELLER_TREATMENT_CODE,SELLER_PWSID,SELLER_PWS_NAME,FILTRATION_STATUS_CODE,IS_SOURCE_TREATED_IND,FIRST_REPORTED_DATE,LAST_REPORTED_DATE
2025Q4,WI1130224,1,BF501,1,I,11/30/1987,WL,Y,Y,GW,P,,,,,N,,02/27/2006
2025Q4,WI1130224,10,BF510,10,I,08/29/2013,WL,Y,Y,GW,P,,,,,N,,09/13/2016
2025Q4,WI1130224,10T,BF510,10T,I,08/29/2013,TP,Y,N,,,,,,,,,09/13/2016
2025Q4,WI1130224,11,BF511,11,A,,WL,Y,Y,GW,P,,,,,Y,,12/17/2025
2025Q4,WI1130224,11302247,11302247,11302247,A,,DS,Y,N,,,,,,,,12/20/2005,12/17/2025
2025Q4,WI1130224,11T,BF511,11T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,12,BF512,12,A,,WL,Y,Y,GW,P,,,,,Y,,12/17/2025
2025Q4,WI1130224,12T,BF512,12T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,13,BF513,13,I,12/15/2025,WL,Y,Y,GW,P,,,,,Y,,12/17/2025
2025Q4,WI1130224,13T,BF513,13T,I,12/15/2025,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,14,BF514,14,A,,WL,Y,Y,GW,P,,,,,Y,,12/17/2025
2025Q4,WI1130224,14T,BF514,14T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,15,BF515,15,A,,WL,Y,Y,GW,P,,,,,Y,,12/17/2025
2025Q4,WI1130224,15T,BF515,15T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,16,BF516,16,A,,WL,Y,Y,GW,P,,,,,Y,,12/17/2025
2025Q4,WI1130224,16T,BF516,16T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,17,BF517,17,A,,WL,Y,Y,GW,S,,,,,Y,,12/17/2025
2025Q4,WI1130224,17T,BF517,17T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,18,BF518,18,A,,WL,Y,Y,GW,P,,,,,Y,,12/17/2025
2025Q4,WI1130224,18T,BF518,18T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,19,BF519,19,A,,WL,Y,Y,GW,P,,,,,Y,,12/17/2025
2025Q4,WI1130224,19T,BF519,19T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,2,BF502,2,I,11/23/1992,WL,Y,Y,GW,P,,,,,N,,02/27/2006
2025Q4,WI1130224,24,BF523,24,A,,WL,Y,Y,GW,P,,,,,Y,,12/17/2025
2025Q4,WI1130224,20,BF520,20,A,,WL,Y,Y,GW,P,,,,,Y,,12/17/2025
2025Q4,WI1130224,20T,BF520,20T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,22,BF521,22,I,10/01/2002,WL,Y,Y,GW,E,,,,,N,,02/27/2006
2025Q4,WI1130224,23,BF522,23,I,10/31/2023,WL,Y,Y,GW,S,,,,,N,,12/17/2025
2025Q4,WI1130224,23T,BF522,23T,I,07/08/2021,TP,Y,N,,,,,,,,,09/06/2024
2025Q4,WI1130224,24T,BF523,24T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,25,BF524,25,A,,WL,Y,Y,GW,P,,,,,Y,,12/17/2025
2025Q4,WI1130224,25T,BF524,25T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,26,BF567,26,A,,WL,Y,Y,GW,P,,,,,Y,,12/17/2025
2025Q4,WI1130224,26T,BF567,26T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,27,AX011,27,A,,WL,Y,Y,GW,S,,,,,Y,,12/17/2025
2025Q4,WI1130224,27T,AX011,27T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,28,LK016,28,A,,WL,Y,Y,GW,S,,,,,Y,,12/17/2025
2025Q4,WI1130224,28T,LK016,28T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,29,RG653,29,A,,WL,Y,Y,GW,P,,,,,Y,,12/17/2025
2025Q4,WI1130224,29T,RG653,29T,A,,TP,Y,N,,,,,,,,08/24/2006,12/17/2025
2025Q4,WI1130224,3,BF503,3,I,04/04/2008,WL,Y,Y,GW,P,,,,,Y,,06/30/2011
2025Q4,WI1130224,30,RG700,30,A,,WL,Y,Y,GW,P,,,,,Y,,12/17/2025
2025Q4,WI1130224,30T,RG700,30T,A,,TP,Y,N,,,,,,,,11/21/2006,12/17/2025
2025Q4,WI1130224,31T,YM827,31T,A,,TP,Y,N,,,,,,,,08/29/2018,12/17/2025
2025Q4,WI1130224,3T,BF503,3T,I,04/04/2008,TP,Y,N,,,,,,,,,06/30/2011
2025Q4,WI1130224,4,BF504,4,I,11/01/1992,WL,Y,Y,GW,P,,,,,N,,02/27/2006
2025Q4,WI1130224,5,BF505,5,I,06/15/2006,WL,Y,Y,GW,P,,,,,Y,,05/20/2009
2025Q4,WI1130224,5T,BF505,5T,I,06/15/2006,TP,Y,N,,,,,,,,,05/20/2009
2025Q4,WI1130224,6,BF506,6,A,,WL,Y,Y,GW,S,,,,,Y,,12/17/2025
2025Q4,WI1130224,6T,BF506,6T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,7,BF507,7,A,,WL,Y,Y,GW,P,,,,,Y,,12/17/2025
2025Q4,WI1130224,7T,BF507,7T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,8,BF508,8,I,12/15/2025,WL,Y,Y,GW,S,,,,,Y,,12/17/2025
2025Q4,WI1130224,8T,BF508,8T,I,12/15/2025,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,9,BF509,9,A,,WL,Y,Y,GW,P,,,,,Y,,12/17/2025
2025Q4,WI1130224,9T,BF509,9T,A,,TP,Y,N,,,,,,,,,12/17/2025
2025Q4,WI1130224,31,YM827,31,A,,WL,Y,Y,GW,P,,,,,Y,08/29/2018,12/17/2025
